id	filename	md5	size	state
1fbcfcc7-43b6-4335-aeee-90329bddab6e	1fbcfcc7-43b6-4335-aeee-90329bddab6e/f16d9348-2781-4518-a34a-fbfcc18e1f7b.rna_seq.augmented_star_gene_counts.tsv	0329042bce9abef10fcc3577c6d3b7bf	4226002	validated
203ca3d5-b954-4938-8653-c4fdbb60e4f6	203ca3d5-b954-4938-8653-c4fdbb60e4f6/146ec125-e90b-4448-8a51-c7c3be60807e.rna_seq.augmented_star_gene_counts.tsv	30d296422e8103162c16b15ced4b2305	4200991	validated
20445437-9781-49d6-b55a-afafcc33c459	20445437-9781-49d6-b55a-afafcc33c459/64c28835-3395-4328-887f-b2bf042c3d9a.rna_seq.augmented_star_gene_counts.tsv	ae28ffa4b1f632347a6cff53c0912a69	4241419	validated
20ccfe17-ec2c-433f-a87c-07018a3a7522	20ccfe17-ec2c-433f-a87c-07018a3a7522/9fefe100-9765-4b8a-8468-51df066f0f0c.rna_seq.augmented_star_gene_counts.tsv	6505c9387e57892b8124f1b3f870fa68	4251212	validated
20db3a49-ca35-4562-bc96-7e98c381830f	20db3a49-ca35-4562-bc96-7e98c381830f/1a61593f-909e-46f4-8cfa-9e23bc050033.rna_seq.augmented_star_gene_counts.tsv	28129c9b76a085d9135c6f0fa1c5b728	4244005	validated
21b8a64f-800c-45bc-b7a4-a2e666330549	21b8a64f-800c-45bc-b7a4-a2e666330549/71390b5a-ecd0-475f-8582-8bfb47bb844c.rna_seq.augmented_star_gene_counts.tsv	180a2859ef24abbb5b85a4a3dc720bf7	4245636	validated
22085d53-b816-4c33-b1ef-6f199775f39c	22085d53-b816-4c33-b1ef-6f199775f39c/d0d080e3-b40d-466e-8b51-58ee3f463667.rna_seq.augmented_star_gene_counts.tsv	9fed33484bffb5f7e7d32a2b5770c56a	4240457	validated
22f5836e-3ed4-45e7-94a2-dfafd689ac05	22f5836e-3ed4-45e7-94a2-dfafd689ac05/e044dbf9-7587-48b7-b58a-b4f5d9401309.rna_seq.augmented_star_gene_counts.tsv	f50b8e22fec6881aa80bb9529f493102	4222281	validated
232c3577-fe73-4c74-99c8-51c82a6aca1c	232c3577-fe73-4c74-99c8-51c82a6aca1c/d7f50a7e-b1e9-47ea-b33a-856964b813f7.rna_seq.augmented_star_gene_counts.tsv	6c7317257c70432b869cb940c36dec4a	4242497	validated
23bf357b-285b-4ccc-956c-cb502503e556	23bf357b-285b-4ccc-956c-cb502503e556/c6080974-048f-45f4-97bf-9e4fdcaf09ee.rna_seq.augmented_star_gene_counts.tsv	b21ee18f28406a64f70244f0eae084d3	4224733	validated
2458c146-74ef-4c2a-b2b4-1bb6ab5292a9	2458c146-74ef-4c2a-b2b4-1bb6ab5292a9/fd0dc2d4-4a8e-4f37-8e1c-320193ace083.rna_seq.augmented_star_gene_counts.tsv	47ad57ab57fb8688a3c5e625c26c1cdb	4242748	validated
278eb29c-4e2d-4ed0-b938-43335a274b9e	278eb29c-4e2d-4ed0-b938-43335a274b9e/8a3c7c61-631f-4dd0-83fe-d2bbb33a17a4.rna_seq.augmented_star_gene_counts.tsv	2d3d365eecffac3b7740d5de0203c1a7	4252058	validated
